Column1;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
EIX;0,002892965;-0,004943052;0,23285899;0,009100991;-0,002608061;0,000158883;0,000318105;0,234112205;0,217987571;2,29E-25;0,471833314
SYK;0,001090792;0,000702731;0,213838219;0,011180974;-0,001715435;0,116199649;0,57192662;0,394831491;0,219115532;1,44E-37;0,610811064
HUM;-0,000270544;-0,00566136;0,339036113;0,008749773;-0,001946064;0,807695208;0,00498704;0,547567644;0,224978036;2,77E-13;0,264273297
CRM;-0,005823432;0,002194745;-0,29853997;0,01201299;0,000207707;1,21E-08;0,212889457;0,941897512;0,225264188;7,47E-26;0,520873614
RJF;0,00680264;0,003977013;0,208340205;0,010856339;-0,001281087;5,03E-19;0,001444571;0,521360658;0,227117628;1,42E-36;0,681641347
CMA;0,013594775;0,007345159;0,307746071;0,013311599;-0,005782047;1,90E-29;7,73E-05;0,051205343;0,227347504;1,91E-28;0,681346788
NFLX;-0,007983515;-0,001115056;0,406257924;0,010451809;-0,001951535;1,18E-08;0,643479387;0,61722029;0,228286757;4,49E-13;0,35702245
VRTX;-0,003069588;-0,004082784;0,273823544;0,00450303;0,001079109;0,000836556;0,012755731;0,682271734;0,229083616;1,55E-06;0,177779237
ZBRA;-0,001159492;0,005337576;0,315752294;0,012151688;-0,003290189;0,267700581;0,004849542;0,279755953;0,229140771;5,85E-24;0,489769585
EXPE;0,004979699;0,008079056;0,358112395;0,016724489;-0,0038687;4,37E-05;0,000209485;0,265529841;0,232078084;3,57E-31;0,594561909
AFL;0,00774026;-0,001839981;0,180563824;0,01156741;-0,00112873;9,07E-28;0,090029465;0,519756514;0,232977071;1,60E-46;0,743458305
NRG;0,004375907;-0,001376919;-0,310985828;0,011110264;-0,000575523;3,77E-05;0,460576389;0,848971341;0,23355167;3,44E-21;0,410625409
FAST;-0,001168604;-0,000776424;0,17489819;0,009127824;-0,000370358;0,046777077;0,459911413;0,827707107;0,234089362;6,11E-36;0,588150023
FDS;-0,001621024;-0,001803034;0,210601204;0,009214595;-0,000437537;0,023124513;0,157705529;0,832043371;0,237271113;4,68E-28;0,497329617
ON;0,002557154;0,007741953;0,376475272;0,014875894;0,001910657;0,045280523;0,000825179;0,605471273;0,2385186;3,54E-24;0,502276464
CSGP;-0,002412753;-0,000841265;-0,284336873;0,011454085;-0,001473791;0,013084848;0,627255617;0,599671886;0,24090052;1,12E-24;0,445494682
ALB;0,004806764;0,008149685;0,416513485;0,014666373;-0,003489835;0,00081256;0,001541732;0,397035051;0,241473748;3,19E-20;0,45845496
ORCL;-0,000379552;-0,005094292;-0,235866606;0,008333054;0,001920162;0,636751723;0,000509283;0,411930107;0,242864809;3,11E-20;0,360401034
KO;0,003174371;-0,005019554;0,164217481;0,007865563;-0,002542552;5,16E-08;1,33E-06;0,120289139;0,24388984;3,57E-31;0,55798844
O;0,006117004;-0,000530394;0,256417576;0,011838549;-0,006646516;5,01E-11;0,736951033;0,01001805;0,245974158;1,84E-29;0,563920441
ILMN;-0,005033164;0,004748071;-0,369692317;0,00992039;-0,004655076;1,00E-04;0,038146923;0,208161371;0,246198591;3,76E-13;0,332377253
AIZ;0,006017073;-0,000334109;-0,214379244;0,00781573;-0,00059259;5,35E-14;0,801958619;0,783716278;0,250243991;1,03E-20;0,481940878
BRO;0,001006266;-0,003193669;0,187197899;0,009604139;-0,001037905;0,121671833;0,006566115;0,582253094;0,250491717;1,48E-33;0,550671099
TXN;-0,000343204;0,001983142;-0,177555812;0,008592341;-0,000255841;0,578796906;0,075095287;0,886874121;0,252985353;8,57E-31;0,537590336
FICO;-0,000384633;0,000530817;0,315439475;0,011853796;0,001729895;0,726304564;0,787882972;0,588589684;0,253310259;1,86E-21;0,413612188
LUV;0,008463545;0,008063796;0,294592171;0,01095986;-0,008017424;3,24E-14;2,18E-05;0,0082259;0,256567357;6,31E-21;0,550724123
PSA;0,000105734;-0,002379927;0,217404817;0,008598406;-0,001798563;0,890031669;0,08424328;0,419355493;0,257987341;8,47E-23;0,415952914
NOW;-0,007155457;0,002268346;-0,245844143;0,012242651;0,001773231;3,55E-14;0,14988747;0,486443534;0,263582185;4,64E-31;0,605378868
CINF;0,00662408;-0,001075562;0,271590364;0,009061496;-0,0041858;9,23E-11;0,535911122;0,138098344;0,263878707;2,32E-17;0,427658039
WAB;0,007473497;0,005916041;0,18953617;0,012037749;-0,001798483;2,47E-22;2,26E-06;0,361616886;0,265089449;2,09E-42;0,736595529
AVB;0,005045444;-0,001785202;0,23188513;0,012531653;-0,005783401;6,02E-09;0,231666114;0,017418209;0,266114908;2,04E-34;0,595605018
CHD;-0,002685687;-0,004453487;-0,190316165;0,002788615;0,001891018;0,00011751;0,000361673;0,342637741;0,268216313;6,95E-05;0,168551982
KEY;0,014399638;0,006266167;0,23542467;0,014488939;-0,007230622;3,01E-40;5,56E-05;0,003737363;0,269072782;2,31E-40;0,773377773
SJM;0,000719727;-0,003253583;-0,202058959;0,001918691;0,000710743;0,327245408;0,014272679;0,73927183;0,273169973;0,009816929;0,05924882
AVY;0,003978893;0,001959417;0,177765741;0,009959666;-0,001424338;4,24E-09;0,092980185;0,449842484;0,274426345;2,84E-35;0,622867117
PANW;-0,005581096;0,001147207;-0,300090795;0,009731406;0,006960265;8,01E-07;0,559867876;0,02998697;0,275631486;5,22E-16;0,374097453
CAH;0,002155016;-0,002396533;0,239032863;0,006792326;0,000390013;0,014378532;0,12770514;0,878075193;0,276243128;4,97E-13;0,273217968
TPR;0,007769102;0,010620155;0,316830827;0,014279338;-0,003244418;2,08E-10;7,72E-07;0,336651889;0,276684077;5,16E-26;0,587635375
CMG;-0,003723215;0,002427473;-0,234508044;0,010748161;0,003742461;2,31E-05;0,116846338;0,135651071;0,277528699;1,42E-26;0,511810826
CVX;0,009351508;-0,002029236;0,238147302;0,009644716;-0,002322328;2,51E-21;0,196801687;0,361549625;0,278074176;3,43E-22;0,560101902
FTV;0,002112237;4,62E-07;0,192370876;0,011113472;-0,002808849;0,003128909;0,999709341;0,173072151;0,278760838;2,78E-36;0,59760457
EG;0,006031837;5,15E-05;0,251422396;0,006893043;-0,001521535;8,21E-10;0,975505623;0,57601051;0,284372153;5,28E-12;0,350938761
MSFT;-0,004909307;-0,005118916;-0,133769922;0,010206136;0,001981569;7,47E-19;3,81E-08;0,172700104;0,285260749;3,76E-50;0,731103526
STLD;0,006805009;0,004668462;0,319668458;0,011354991;0,002481105;4,21E-08;0,030335965;0,475197597;0,286377001;8,90E-18;0,43877489
DG;-0,00243476;-0,005233975;0,281243478;0,004925994;-0,002544394;0,021392689;0,006019707;0,405820165;0,286862457;5,50E-06;0,146267407
CI;0,00387374;-0,003453476;0,237486972;0,008321546;-0,001481066;2,04E-05;0,031295396;0,566643095;0,28710995;2,26E-17;0,370887723
STX;0,001811677;-0,000174559;0,287194306;0,011561664;-0,002319555;0,09282011;0,927874229;0,45829904;0,287249685;2,19E-21;0,410987315
CMS;0,002296875;-0,006442443;0,179856545;0,008082318;-0,003824041;0,000801702;2,85E-07;0,052781441;0,289126412;5,81E-25;0,468445124
HLT;0,004178961;0,003586987;0,219491929;0,011870625;-0,001279438;9,64E-07;0,016455419;0,594947668;0,290650529;3,57E-32;0,592783544
KLAC;-0,002310193;0,001096872;0,262609852;0,015410586;0,00117097;0,023941914;0,547982885;0,692219534;0,303771841;1,35E-34;0,584861446
BIIB;-0,003175709;0,001828483;-0,347183151;0,006253118;-0,001870961;0,020195762;0,453555046;0,635920875;0,308793512;7,85E-06;0,138328176
HWM;0,010199256;0,004750411;0,268013355;0,013903104;-0,002250412;3,34E-18;0,013225279;0,465680326;0,313930005;1,94E-28;0,613486989
UBER;-0,002864238;0,011572633;-0,361201262;0,013134972;0,001346163;0,045974662;1,08E-05;0,745987725;0,314004486;6,95E-17;0,420045806
NWSA;0,00355862;0,008523605;0,221789576;0,008601472;-0,000331304;7,19E-05;1,83E-07;0,896848864;0,314776177;1,43E-18;0,488570871
PEP;0,000311172;-0,007438582;0,128377096;0,007027056;-0,001221432;0,54345628;5,98E-14;0,412648929;0,318182828;2,93E-30;0,535027787
IP;0,00627716;0,003615546;-0,195206559;0,007931345;-0,00265295;8,82E-14;0,010649864;0,244376312;0,32027407;1,40E-19;0,496045957
ADBE;-0,006797578;-0,003341362;-0,213769434;0,012884797;6,37E-05;1,87E-13;0,031443538;0,979703852;0,322347354;4,61E-34;0,604493722
CCL;0,010135614;0,010503474;-0,460956309;0,021268922;-0,007397685;1,43E-07;0,001874805;0,172226736;0,323332729;2,09E-23;0,503219001
