;coefHML;coefSML;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorrmrf;r2
EOG;0,00827057191712515;0,0027428126895251287;0,009473872135586571;0,000514288294548733;1,6263842672390395e-28;0,003655772858161348;0,6860263812504445;4,94643460536823e-68;0,30606472483491876
ICE;0,0018838784788148856;0,0001995073179252318;0,007711743585677364;0,0007724344225189142;0,0016126903639109723;0,7958310466700139;0,4581946529007408;2,126256770944564e-67;0,23411258027366322
TGT;0,0008800275890300399;-0,0022464375234146363;0,009573868718016966;-0,00044250621438157283;0,12104899882126759;0,0022437214126800886;0,6551598715224417;1,7228729426624665e-105;0,3237186916091871
SHW;0,0007096344900980087;-0,0008199466066972743;0,008331344247312926;0,0015746669482315932;0,14498438597264426;0,1928300866862964;0,06410388855653205;5,50970102051278e-108;0,3342601868529427
SLB;0,008447236240572475;0,0048616586553575526;0,00957822750085058;-0,001832377831270637;1,1575718410117308e-35;1,2952633991498869e-08;0,11031786851626552;9,394257149256649e-83;0,37078498144358485
CME;0,003188258668085431;0,0014949921432883505;0,006624410111384264;0,0010909236987645076;5,300398195461423e-08;0,04738319269115798;0,28365482583087326;7,902550984173466e-54;0,21335938005657684
SO;0,0019456953644097813;-0,0032023496941800296;0,0038509692267197416;0,0003169826890380852;2,351410242528946e-06;2,0830234528238953e-09;0,6582514840862821;2,846013451978931e-38;0,1552895103792702
ZTS;-0,00240051695916852;-0,0008113920485571096;0,0037169776967786406;0,0007243616807777944;6,257329805430855e-13;0,0576170413378112;0,20921076446675763;7,2018530071934355e-53;0,19268943804499916
WM;0,0013966505416137106;-0,002501130288376753;0,00654540519589833;0,0007591126555104405;0,00231648518842254;2,541028029794878e-05;0,34225757657581146;4,478542111475819e-80;0,2605618070239555
ANET;-0,0025330498746708855;0,0009850131242904099;0,004051871776750604;0,0015340909421709225;1,0409866596995654e-05;0,18344484969383656;0,1250098197116319;4,3400904592095024e-23;0,09658407093105648
DUK;0,001966383968338788;-0,00456091333844877;0,005965387495200269;-0,0005711372874843244;1,8229343849093314e-05;2,442881431641705e-14;0,4744150325979768;1,9984210344954882e-68;0,24273450474273672
