;coefHML;coefSML;coeffundflows;coefrmrf;const;pvalorHML;pvalorSML;pvalorconst;pvalorfundflows;pvalorrmrf;r2
T;0,004702878398586034;-0,002128561630570858;0,022167243242014207;0,006520494954659175;-0,0047325268307711905;2,1091879129917976e-10;0,08930026653725928;0,020064109484307747;0,8929753938956857;3,5998400028570805e-18;0,41648788571019046
ELV;0,0031551255795480146;-0,006456439892966447;0,4157432429129146;0,010441260041348894;-0,00192483979477121;0,000735600498109169;0,0001054358858854424;0,4674268262283794;0,05503302556925814;1,4656449632220034e-24;0,45867413781348887
SYK;0,0012021330153847314;0,000785166217597564;0,19296721881232357;0,011295031544981718;-0,0017718019450660696;0,07281958536612203;0,507370689854293;0,35592219584180096;0,2176492581532803;1,8828116183286752e-42;0,6460077959959402
C;0,010150310944319063;0,0016867885410982773;-0,06518722844738364;0,013255662180378514;-0,00553268038687192;7,122538211634743e-34;0,16954327373307693;0,005741200165437597;0,6868959965668542;1,7505853872221114e-49;0,7716796693546739
MS;0,005928920168872481;0,0016440579698921707;0,16636807212232393;0,011998860966560271;-0,0008242591422699897;3,401024855446182e-15;0,18403184912679926;0,6803281170301713;0,3079971019311763;1,999884525228393e-43;0,6952761622624453
PLD;0,0002038202342333285;-0,0017415639456794293;-0,01385831009149988;0,01263860971317706;-0,0011486771398468226;0,7890829093458475;0,19834036807162705;0,5997945875566655;0,9380601698921924;2,1299162636636735e-41;0,6126439773934322
BLK;8,380675327560555e-05;-0,0008860814393320968;0,258361011846971;0,012937576005144908;-0,0016814872380363018;0,890466581877035;0,41202666742662764;0,3366350767259759;0,07084198664596342;1,115424140226266e-55;0,7336831436783398
MDT;0,0019372973143163964;0,0015019356369653089;0,07971339638517744;0,008867109025695076;-0,0041421762132707535;0,0038919170620289687;0,20322184508237912;0,030887116660273932;0,6082858937515206;5,057797093188901e-31;0,5435502374075553
TJX;0,0039000670248927074;0,0006355593233306156;0,15686783502983534;0,011549636714288726;-0,0014293051753450426;1,5058217707734589e-06;0,6492800167062986;0,5278555679222127;0,3953854584419477;3,0491923743249747e-35;0,5953082514432158
NKE;-0,0002418474107664489;0,00039035167975844755;-0,3847417359120165;0,011561380792226121;-0,0014244279914449683;0,7709176236899887;0,7910109591739737;0,5506240107299342;0,048874401993353585;7,29760983203077e-33;0,5286103407517679
UPS;-0,0005859763283266403;-0,0010794692598825259;0,1868842825866854;0,00842515378163186;-0,001406401364709088;0,490105055112373;0,4734802162508316;0,564112214667198;0,3472970949430909;3,4678020990338283e-20;0,3735785534635142
SCHW;0,007352402082836506;0,0027628895322601033;0,1533392665004041;0,009849088305248306;-0,0015521472092812018;1,2089536969382901e-11;0,12923995502385552;0,5978332076430154;0,5225440291924166;3,0626977335187395e-19;0,47127789858223057
DE;0,005402967377026028;0,0007091949298660942;0,10903521442428983;0,011085964461698664;0,0006253431905470175;2,5004286489596523e-09;0,6447497784161766;0,8017709712310821;0,5912442475067907;3,2958673557138114e-29;0,5490620002919921
CI;0,003678167951259324;-0,0037979652653392544;0,35184650471167433;0,008851033730522186;-0,0016344579715663722;3,897456786858064e-05;0,015186712717498952;0,5160417659161503;0,08719215365381011;9,755258061041228e-21;0,4176421395632117
BA;0,010831627807368413;0,00343658335915586;-0,3460912655591217;0,020661417149154385;-0,005390086187277759;3,342327865866798e-13;0,16496424960656578;0,17867516677753734;0,2888894432972475;8,008521837729177e-36;0,6257840639125247
VRTX;-0,003000463653309789;-0,0037940734608758442;0,26027884187104455;0,005056198211689937;0,0007946994622337347;0,0007522530862555487;0,015561626119842792;0,7527191127902165;0,20625060042615834;1,1411553043120948e-08;0,20842535087253344
BMY;0,0001278271464082474;-0,0011329651350438159;0,1507513402800164;0,005239222479866345;-0,003024754777755174;0,85480813341825;0,3609304519505483;0,13276828699872667;0,35704304981578905;4,2120052607543634e-13;0,25369248706002323
CB;0,006617083014171414;-0,002051596599511778;0,22364804330364504;0,009013841004508123;-0,0014492793227532871;3,4898755265681925e-20;0,07433045021053589;0,43491701790230697;0,14000291072475438;5,4592375540277676e-33;0,6307814371257139
ADP;0,002095014283266263;-0,0026018576168218865;0,11920127930685717;0,01023884838103366;-0,0015465774329011044;0,0014915672149152686;0,025203388618824228;0,40890455666096437;0,4347108030058705;1,2486972794404163e-38;0,5974064268106372
MMC;0,0010249935533526728;-0,0036429039045867005;0,08915378684932482;0,009616174643041948;-0,0002500328633241338;0,0518850729719497;0,00012139949283794212;0,8682692259281976;0,46827107123779976;7,953071585709203e-47;0,6577078232481348
BSX;0,001530331652310782;-0,0005243783895503654;-0,001769481064929041;0,0101896664699633;-0,0014687886107185484;0,02233378680818686;0,6569350667794684;0,4426498579761512;0,9909376400695045;2,506145645263434e-37;0,5850522494672221
REGN;-0,00423271990432141;-0,0024218345732657577;-0,06465302212351098;0,0055438422249477325;0,00286520203982733;1,941572739371716e-05;0,15969040139028484;0,3038363700048774;0,7755899681504612;1,386828536348106e-08;0,20995772941509205
SBUX;0,0011249809112945182;-0,0013078474483894556;-0,1397720656187303;0,01043298930560073;-0,0018617260837113564;0,12183147081397967;0,3096970728823904;0,3718154152682299;0,41054934174590507;2,250330297217164e-34;0,5425631322971145
ADI;-0,00022675019509229294;0,0019233669924358708;-0,04447404727356349;0,010152023878580217;-1,913837508734908e-05;0,7361507697268386;0,10811973768455795;0,9920993648408198;0,7776733440892699;1,289386353632294e-36;0,5897063270360199
LMT;0,003678621752194115;-0,005605171314460773;0,025791949981254954;0,00766101922968349;-0,001559973453605902;1,234687831187206e-06;2,696405671151864e-05;0,46130783762577887;0,8811063163994812;1,22201837609915e-21;0,4264066341547995
FI;0,002922122036230182;-0,0018067251762011111;0,040155994948069366;0,009900852576324946;-0,002144955593741483;1,5286477196768366e-05;0,12393763016292009;0,25881825174893563;0,7950147924219606;2,5560082764967206e-36;0,5834766268244549
KLAC;-0,0024935266178290017;0,001203620548217666;0,10079906455373396;0,014387424637196278;0,0019151292517673951;0,015766656452111987;0,5083101687117528;0,515801575853718;0,6745957654236466;3,2390642268149134e-33;0,5542762040299467
CVS;0,002889660431787724;-0,0016514711716842604;0,32255225773591767;0,007578918077147702;-0,0027964145525538435;0,000552468064316032;0,2594180967683046;0,23845646073689758;0,09575415633983983;5,8534672011498754e-18;0,37378723572219164
BX;-0,00047412154437480964;0,0034252400182120057;-0,08306463994821726;0,014688398190156425;0,0007238822540257243;0,6199259881923302;0,04434042525187669;0,792037360638652;0,7104496781297671;1,6200322789033554e-37;0,6022868542495325
MDLZ;0,0009002660933518602;-0,004507859586839288;0,057135498241865236;0,00666839393514484;-0,0007237120355274965;0,11901979570619857;1,6031994704537603e-05;0,6617708302400862;0,6716855962019543;2,338747257350244e-25;0,43613719862978373
AMT;-0,0009137462806476194;-0,0031969589215952586;0,42051417407699665;0,009285004465096149;-0,003892285364986208;0,24097254473624272;0,021332551666518776;0,08268471578486239;0,021772545842179403;1,749853680275727e-26;0,47051689935278285
SNPS;-0,0064078308372640625;-0,0018207833551453078;0,038981429203902275;0,011381585303693827;0,003465925117924592;7,237049135995211e-17;0,14546161493317428;0,08741469088449459;0,8128619030570823;4,193106927580763e-40;0,6537190020012185
GILD;-0,000558580113529283;-0,001143593974972364;-0,08692692688756472;0,0031790781257668085;0,00021082404940514453;0,514979855448993;0,4523532291291258;0,931788764421547;0,6650152507578053;0,00016927215621012927;0,06981610412745898
PANW;-0,004857899360223664;0,0011099894599497968;-0,07894207641577336;0,011071562635886198;0,003990949121506904;1,842941319377667e-05;0,5725731696961177;0,21104843640360874;0,7610231769108636;2,317807945832531e-20;0,4097305479816258
CDNS;-0,006439773254155067;-0,00216750796496416;0,0431663295137781;0,01106309304228281;0,0037961530133890403;8,699258621555585e-18;0,07462864635617242;0,054047756636979125;0,7871397788940908;3,620511213052566e-40;0,6563207787052279
TMUS;-0,0006106131801932325;-0,0018042295240270313;0,26615201650442927;0,0069437960231568605;0,0008478244513805765;0,38223146676770403;0,14611745367781617;0,6725377117371316;0,10451275316730191;3,069000488147256e-20;0,3789967312275849
CMG;-0,003252758491244869;0,0026433608689739913;-0,1845270026117149;0,011205319996134095;0,002651461351847202;0,0001769317723552206;0,08153620551360338;0,2796077188642659;0,3556183158141314;2,316740495901558e-30;0,536445732880849
MPC;0,012951977856653142;0,004470105202749761;-0,17793153952086627;0,013155844481442889;0,0011233140312431813;9,147638577641797e-25;0,022936035640653513;0,7225216348989587;0,49023559096755953;1,5945317571473176e-26;0,6223262616648731
