Change_date;Ticker_added;added;ticker_removed;removed
July 1, 2008;AKS;AK Steel;CFC;Countrywide Financial Corp
June 23, 2008;COG;Cabot Oil & Gas;BC;Brunswick
June 23, 2008;MEE;Massey Energy;OMX;OfficeMax
June 10, 2008;LO;Lorillard Tobacco Company;ABK;Ambac Financial
December 20, 2007;RRC;Range Resources;TRB;Tribune Media
December 13, 2007;GME;GameStop;DJ;Dow Jones
October 26, 2007;JEC;Jacobs Engineering Group;AV;Avaya
October 2, 2007;EXPE;Expedia;SLR;Solectron
October 1, 2007;TDC;Teradata;NCR;NCR Corporation
September 27, 2007;TSO;Tesoro Corporation;MXIM;Maxim Integrated Products
September 26, 2007;ICE;Intercontinental Exchange;FDC;First Data
August 24, 2007;LUK;Leucadia National;KSE;KeySpan
July 2, 2007;DFS;Discover Financial Services;;
March 30, 2007;KFT;Kraft Foods;TSG;Sabre Corporation
January 10, 2007;AVB;AvalonBay Communities;SBL;Symbol Technologies
June 2, 2006;JNPR;Juniper Networks;ABS;Albertsons
November 18, 2005;AMZN;Amazon;T;AT&T Corporation
July 1, 2005;STZ;Constellation Brands;GLK;Great Lakes Chemical
September 25, 2003;ESRX;Express Scripts;QTRN;Quintiles Transnational
December 5, 2000;INTU;Intuit;BS;Bethlehem Steel
December 5, 2000;SBL;Symbol Technologies;OI;Owens-Illinois
December 5, 2000;AYE;Allegheny Energy;GRA;WR Grace
December 5, 2000;ABK;Ambac Financial;CCK;Crown Holdings
July 27, 2000;JDSU;JDS Uniphase;RAD;RiteAid
June 12, 2000;CVG;Convergys;TMC;Times Mirror
June 7, 2000;SBUX;Starbucks;SMS;Shared Medical Systems
December 7, 1999;YHOO;Yahoo!;LDW;Laidlaw
June 9, 1999;WLP;Wellpoint;HPH;Harnischfeger Industries
December 11, 1998;FSR;Firstar;LDW;Amoco
December 11, 1998;CCL;Carnival Corp.;GRN;General Re
December 11, 1998;CPWR;Compuware;SUN;SunAmerica
June 17, 1997;CCI;Countrywide Credit Industries;USL;USLife
